X;Y;Toponyme Voie;Statut Voie;Libellé Voie;Point Origine Voie;Point Extrémité Voie;N° de Délibération;Date de Délibération;Longueur Voie;Observations
989361,55;6246397,13;Narcisses;Départementale;Rond-point des Narcisses;Avneue des Narcisses;Route de La Foux;2016/028;03/03/2016;;
990354,81;6247266,4;Eole;Publique;Rond-Point Eole;Impase de Tous les Vents;Impasse de Tous les Vents;2012/006;;;
985860,69;6246141,23;Grenouille;Publique;Rond-Point Grenouille;Avenue Saint-Maur;Chemin de l'Argentière;2010/109;14/12/2010;;
986235,86;6245374,97;Vaubelette;Publique;Rond-point Vaubelette;Chemin de Vaubelette;Route des Mines;2016/030;03/03/2016;;
984442,83;6247702,22;Collobrières;Publique;Route de Collobrières RD nº14;RD 48;Commune de Collobrières;;;3610 m;Arrêté n° 2012/518
989837,23;6246634,11;Foux;Départementale;Route de La Foux;Rond-Point de l'Armée d'Afrique;Commune de Gassin;2012/108;25/10/2012;2503 m;Arrêté n° 2013/139
987724,62;6245397,5;Mole;Départementale;Route de La Mole;Rond-Point de l'Armée d'Afrique;Commune de La Mole;2012/107;25/10/2012;3470 m;Arrêté n° 2013/138
985860,21;6246140,3;Rd nº48;Publique;Route Départementale nº48;Rond point Grenouille;Commune de Grimaud;;;2355 m;Arrêté n° 2012/509
986523,17;6245391,32;Mines;Publique;Route des Mines;Avenue de la Cauquière;Chemin des Mines;;;721 m;Arrêté n° 2012/519
989841,11;6246671,83;Pont de Vinaigre;Départementale;Route du Pont de Vinaigre;Rond Point de Font-Mourier;Commune de Grimaud;2012/110;25/10/2012;398 m;Arrêté n° 2014/997
987136,53;6245752,27;Aimé Félix;Publique;Rue Aimé Félix;Rue Carnot;Impasse;;;77 m;
991057,7;6247020,78;Alphonse Daudet;DPC;Rue Alphonse Daudet;Rue de la Plage (Parcelle BD 102);Parcelle BD 101;;;132 m;
986292,83;6245428,35;André Campra;DPC;Rue André Campra;Avenue Paul Cezanne;Impasse;;;34 m;
986688,58;6246081,8;André Marie Ampère;DPC;Rue André Marie Ampère;Avenue Saint-Maur;Rue des Frères Lumière;;25/09/1989;300 m;Arrêté n° 2013/146
986939,37;6245277,61;Beausoleil;Publique;Rue Beausoleil;Rue Marceau;Boulevard Gérard Philipe;;;251 m;
985894,65;6245983,64;Blaise Pascal;DPC;Rue Blaise Pascal;Rond-Point Grand-Sud;Rd-Pt de la 1ère armée Rhin et Danube;CM du 25/09/1989;;324 m;Arrêté 2014/939
987011,29;6245701,53;Blanqui;Publique;Rue Blanqui;Place de la Liberté;Place Bellevue;;;64 m;
987094,48;6245582,41;Carnot;Publique;Rue Carnot;Rond Point Saint-Maur;Rue Jean Jaurès;;;603 m;
986905,66;6245655,02;Caroline;Publique;Rue Caroline;Rue du Cadran;Rue de la Résistance;;;16 m;
985866,14;6246143,59;Condorcet;Publique;Rue Condorcet;Ront-point Grenouille;Rue François Arago;94/104;28/10/1994;429 m;Arrêté n° 2013/147
990486,8;6247225,08;Cité des Marins;Privée;Rue de la Cité des Marins;Avenue Frédéric Mistral;RN 98;;;;
986924,16;6245613,65;Placette;Publique;Rue de la Placette;Rue Nationale;Rue de la Résistance;;;41 m;
991038,27;6247004,09;Plage;Publique;Rue de la Plage;RN 98;Parking;2003/083;18/09/2003;580 m;
986876,88;6245546,01;Résistance;Publique;Rue de la Résistance;Rue des Mines;Rue des Moulins;;06/07/1945;151 m;
987638,31;6245777,17;Treille;Privée;Rue de la Treille;Avenue de la Giscle;Impasse;2013/073;20/06/2013;141 m;Arrêté n° 2015/818
986664,62;6245691,07;Audiguier;DPC;Rue de l'Audiguier;Rue du Juge Michel;Rue du Juge Michel;;25/09/1989;324 m;
986996,28;6245767,73;Horloge;Publique;Rue de l'Horloge;Rue des Moulins;Place Bellevue;;;130 m;
987296,76;6245678,52;Caniers;DPC;Rue des Caniers;Avenue des Mûriers;Avenue de La Giscle;94/49;31/05/1994;155 m;
